player_name;matches_played;matches_started;minutes_played;minutes_per_match;clean_sheets;saves;goals_conceded;save_percentage
José Raúl Rangel;5;5;438;88;4;7;3;70
Carlos Acevedo;0;0;0;0;0;0;0;0
Francisco Guillermo Ochoa;1;0;12;0;0;0;0;0
Ronwen Hayden Williams;4;4;360;90;1;17;4;81
Sipho Justin Chaine;0;0;0;0;0;0;0;0
Stuart Ricardo Goss;0;0;0;0;0;0;0;0
Seunggyu Kim;3;3;270;90;0;8;3;727
Bumkeun Song;0;0;0;0;0;0;0;0
Hyeonwoo Jo;0;0;0;0;0;0;0;0
Mat ? j Kovar;3;3;270;90;0;9;6;60
Jind ? ich Stanek;0;0;0;0;0;0;0;0
Lukáš Hornicek;0;0;0;0;0;0;0;0
Dayne Tristan St. Clair;0;0;0;0;0;0;0;0
Maxime Crepeau;5;5;450;90;2;7;6;538
Owen Olamidayo Goodman;0;0;0;0;0;0;0;0
Nikola Vasilj;4;4;360;90;0;12;8;60
Mladen Jurkas;0;0;0;0;0;0;0;0
Martin Zlomislic;0;0;0;0;0;0;0;0
Ibrahim Mahmoud Abunada;3;3;270;90;0;16;10;615
Zakaria Salah Zakaria;0;0;0;0;0;0;0;0
Aissa Meshaal Barsham;0;0;0;0;0;0;0;0
Gregor Kobel;6;6;600;100;2;20;6;769
Yvon Landry Mvogo;0;0;0;0;0;0;0;0
Marvin Keller;0;0;0;0;0;0;0;0
Ramsés Alisson;5;5;450;90;2;9;4;692
Weverton Weverton;0;0;0;0;0;0;0;0
Ederson Ederson;0;0;0;0;0;0;0;0
Yassine Bounou;6;6;570;95;2;18;6;75
Monir El Kajoui;0;0;0;0;0;0;0;0
Ahmed Reda Tagnaouti;0;0;0;0;0;0;0;0
Johny Placide;3;3;270;90;0;14;8;636
Alexandre Jr Pierre;0;0;0;0;0;0;0;0
Josue Duverger;0;0;0;0;0;0;0;0
Angus Fraser James Gunn;3;3;270;90;1;10;4;714
Liam Patrick Kelly;0;0;0;0;0;0;0;0
Craig Sinclair Gordon;0;0;0;0;0;0;0;0
Matthew Charles Turner;1;1;90;90;0;4;3;571
Matthew Andrew Geary Freese;4;4;360;90;2;8;5;615
Christopher Keith Brady;0;0;0;0;0;0;0;0
Roberto Junior Fernandez;0;0;0;0;0;0;0;0
Orlando Daniel Gill;5;5;480;96;2;29;6;829
Gastón Hernán Olveira;0;0;0;0;0;0;0;0
Mathew David Ryan;1;0;1;0;0;0;0;0
Paul David Izzo;0;0;0;0;0;0;0;0
Patrick Thomas Beach;4;4;389;97;2;11;3;786
Fehmi Mert Gunok;0;0;0;0;0;0;0;0
Altay Bayindir;0;0;0;0;0;0;0;0
Ugurcan Cakir;3;3;270;90;0;7;5;583
Manuel Peter Neuer;4;4;390;98;0;8;5;615
Oliver Baumann;0;0;0;0;0;0;0;0
Alexander Nuebel;0;0;0;0;0;0;0;0
Eloy Victor Room;3;3;270;90;1;25;9;735
Tyrick Jeremy Bodak;0;0;0;0;0;0;0;0
Trevor Irving Doornbusch;0;0;0;0;0;0;0;0
Yahia Fofana;4;4;360;90;2;12;4;75
Mohamed Kone;0;0;0;0;0;0;0;0
Alban-Marc Lafont;0;0;0;0;0;0;0;0
Hernán Ismael Galindez;4;4;360;90;1;25;4;862
Wellington Moisés Ramirez;0;0;0;0;0;0;0;0
Gonzalo Roberto Valle;0;0;0;0;0;0;0;0
Bart Verbruggen;4;4;390;98;0;12;5;706
Robin Gerardus Petrus Roefs;0;0;0;0;0;0;0;0
Mark Maria Hubertus Flekken;0;0;0;0;0;0;0;0
Zion Suzuki;4;4;360;90;1;11;5;688
Keisuke Osako;0;0;0;0;0;0;0;0
Tomoki Hayakawa;0;0;0;0;0;0;0;0
Jacob Mikael Widell Zetterstrom;2;2;180;90;0;13;4;765
Tobias Viktor Johansson;0;0;0;0;0;0;0;0
Bo Kristoffer Nordfeldt;2;2;180;90;0;8;6;571
Abdelmouhib Chamakh;1;1;90;90;0;6;5;545
Aymen Dahmen;2;2;180;90;0;7;7;50
Sabri Ben Hessen;0;0;0;0;0;0;0;0
Thibaut Nicolas Courtois;6;6;551;92;1;15;7;682
Senne Lammens;1;0;19;0;0;0;0;0
Mike Louis Penders;0;0;0;0;0;0;0;0
Elsayed Mohamed Mohamed Elshenawy;0;0;0;0;0;0;0;0
Mohamed Soliman Mahdy Soliman;0;0;0;0;0;0;0;0
Abdelaziz Mohame Mostafa;5;5;480;96;0;11;7;611
Alaaeldin Soliman Mohamed Alaa;0;0;0;0;0;0;0;0
Ali Reza Beiranvand;3;3;270;90;1;16;3;842
Seyedpayam Niazmand;0;0;0;0;0;0;0;0
Seyedhossein Hosseini;0;0;0;0;0;0;0;0
Maxime Teremoana Crocombe;3;3;270;90;0;18;10;643
Alexander Noah Paulsen;0;0;0;0;0;0;0;0
Michael Cornelis Woud;0;0;0;0;0;0;0;0
David Raya;0;0;0;0;0;0;0;0
Joan Garcia;0;0;0;0;0;0;0;0
Unai Simon;8;8;750;94;7;16;1;941
José Vozinha;4;4;390;98;2;23;5;821
Salomão Marcio;0;0;0;0;0;0;0;0
Joaquim Cj Dos Santos;0;0;0;0;0;0;0;0
Dhahi Nawaf Alaqidi;0;0;0;0;0;0;0;0
Khalil Mohammed Alowais;3;3;270;90;1;18;5;783
Ali Ahmed;0;0;0;0;0;0;0;0
Sergio Ramón Rochet;1;0;44;0;0;0;0;0
Santiago Andres Mele;0;0;0;0;0;0;0;0
Nestor Fernando Muslera;3;3;226;75;0;9;4;692
Brice Lauriche Samba;0;0;0;0;0;0;0;0
Mike Peterson Maignan;8;8;720;90;4;16;10;615
Robin François Philippe Risser;0;0;0;0;0;0;0;0
Yehvann Djibril Victor Diouf;0;0;0;0;0;0;0;0
Edouard Osoque Mendy;2;2;153;77;0;7;6;538
Mory Diaw;3;2;237;119;1;3;3;50
Talib Raheem Fahad Talib;0;0;0;0;0;0;0;0
Hasan Hachim Jalal Hassan;2;1;134;134;0;7;4;636
Basil Fadhil Ahmed;2;2;136;68;0;9;8;529
Ørjan Haskjold Nyland;5;5;480;96;0;17;7;708
Sander Tangvik;0;0;0;0;0;0;0;0
Egil Selvik;1;1;90;90;0;4;4;50
Juan Agustín Musso;0;0;0;0;0;0;0;0
Geronimo Rulli;0;0;0;0;0;0;0;0
Damián Emiliano Martinez;8;8;810;101;2;23;8;742
Melvin Feycal Mastil;0;0;0;0;0;0;0;0
Oussama Benbot;1;1;90;90;0;0;3;0
Luca Zinedine Zidane;3;3;270;90;0;8;6;571
Alexander Schlager;4;4;360;90;0;12;9;571
Florian Wiegele;0;0;0;0;0;0;0;0
Patrick Pentz;0;0;0;0;0;0;0;0
Mo'ien Hasan Yazeed Abulaila;3;3;270;90;0;11;8;579
Zaid Khaleel Nour Baniateyah;0;0;0;0;0;0;0;0
Ra'ed Mahmoud Abdallah Alfakhori;3;2;149;75;0;7;6;538
Diogo Diogo Costa;5;5;450;90;2;23;3;885
Pedro Jose Sa;0;0;0;0;0;0;0;0
Tiago Rui Silva;0;0;0;0;0;0;0;0
Lionel Nzau Mpasi;4;4;360;90;0;12;5;706
Timothy Bruce Munzoko Fayulu;0;0;0;0;0;0;0;0
Matthieu Luka Epolo;0;0;0;0;0;0;0;0
Utkir Yusupov;1;1;90;90;0;6;3;667
Abduvakhid Nematov;2;2;180;90;0;4;8;333
Botirali Ergashev;0;0;0;0;0;0;0;0
David Ospina;0;0;0;0;0;0;0;0
Camilo Andres Vargas;5;5;480;96;4;9;1;90
Álvaro David Montero;0;0;0;0;0;0;0;0
Jordan Lee Pickford;7;7;660;94;2;19;8;704
Dean Bradley Henderson;1;1;90;90;0;5;4;556
James Harrington Trafford;0;0;0;0;0;0;0;0
Dominik Livakovic;4;4;360;90;1;8;7;533
Ivor Pandur;0;0;0;0;0;0;0;0
Dominik Kotarski;0;0;0;0;0;0;0;0
Lawrence Ati Zigi;2;2;136;68;1;12;1;923
Joseph Tetteh Anang;0;0;0;0;0;0;0;0
Benjamin Asare;3;2;224;112;1;5;2;714
Luis Ricardo Mejia;0;0;0;0;0;0;0;0
Cesar Jair Samudio;0;0;0;0;0;0;0;0
Orlando Mosquera;3;3;270;90;0;8;4;667
