player_id;player_name;position;matches_played;matches_started;minutes_played;minutes_per_match;goals;goals_per_match;assists;assists_per_match;yellow_cards;red_cards;total_cards;cards_per_match;penalty_goals;own_goals;clean_sheets;saves;goals_conceded;save_percentage
1;José Raúl Rangel;GK;5;5;438;88;0;0,0;0;0,0;0;0;0;0,0;0;0;4,0;7,0;3,0;70,0
2;Jorge Eduardo Sanchez;DEF;4;4;349;87;0;0,0;1;0,25;1;0;1;0,25;0;0;;;;
3;César Jasib Montes;DEF;4;4;315;79;0;0,0;0;0,0;0;1;1;0,25;0;0;;;;
4;Edson Omar Alvarez;DEF;4;2;239;120;0;0,0;0;0,0;1;0;1;0,25;0;0;;;;
5;Johan Felipe Vasquez;DEF;4;4;360;90;0;0,0;0;0,0;1;0;1;0,25;0;0;;;;
6;Erik Antonio Lira;MID;4;4;346;87;0;0,0;1;0,25;0;0;0;0,0;0;0;;;;
7;Luis Francisco Romo;MID;4;4;268;67;1;0,25;1;0,25;0;0;0;0,0;0;0;;;;
8;Álvaro Fidalgo;MID;3;1;95;95;1;0,33;0;0,0;0;0;0;0,0;0;0;;;;
9;Raúl Alonso Jimenez;FWD;4;4;319;80;3;0,75;0;0,0;0;0;0;0,0;1;0;;;;
10;Ernesto Alexis Vega;FWD;1;0;11;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
11;Santiago Tomás Gimenez;FWD;4;0;83;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
12;Carlos Acevedo;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
13;Francisco Guillermo Ochoa;GK;1;0;12;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
14;Armando Gonzalez;FWD;1;0;14;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
15;Israel Reyes;DEF;4;2;200;100;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
16;Julián Andrés Quinones;FWD;5;5;414;83;4;0,8;1;0,2;0;0;0;0,0;0;0;;;;
17;Orbelín Pineda;MID;2;0;29;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
18;Obed Goméz Vargas;MID;3;0;63;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
19;Gilberto Rafael Mora;MID;4;3;216;72;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
